,C_minmax,I_minmax,Q_minmax,index_minmax,C_percentile,I_percentile,Q_percentile,index_percentile
2011-03-01,,,,,,,,
2011-04-01,,,,,,,,
2011-05-01,,,,,,,,
2011-06-01,,,,,,,,
2011-07-01,,,,,,,,
2011-08-01,,,,,,,,
2011-09-01,,,,,,,,
2011-10-01,,,,,,,,
2011-11-01,,,,,,,,
2011-12-01,,,,,,,,
2012-01-01,,,,,,,,
2012-02-01,,,,,,,,
2012-03-01,,,,,,,,
2012-04-01,,,,,,,,
2012-05-01,,,,,,,,
2012-06-01,,,,,,,,
2012-07-01,,,,,,,,
2012-08-01,,,,,,,,
2012-09-01,,,,,,,,
2012-10-01,,,,,,,,
2012-11-01,,,,,,,,
2012-12-01,,,,,,,,
2013-01-01,,,,,,,,
2013-02-01,,,,,,,,
2013-03-01,,,,,,,,
2013-04-01,,,,,,,,
2013-05-01,,,,,,,,
2013-06-01,,,,,,,,
2013-07-01,,,,,,,,
2013-08-01,,,,,,,,
2013-09-01,,,,,,,,
2013-10-01,,,,,,,,
2013-11-01,,,,,,,,
2013-12-01,,,,,,,,
2014-01-01,,,,,,,,
2014-02-01,,,,,,,,
2014-03-01,,,,,,,,
2014-04-01,,,,,,,,
2014-05-01,,,,,,,,
2014-06-01,,,,,,,,
2014-07-01,,,,,,,,
2014-08-01,,,,,,,,
2014-09-01,,,,,,,,
2014-10-01,,,,,,,,
2014-11-01,,,,,,,,
2014-12-01,,,,,,,,
2015-01-01,,,,,,,,
2015-02-01,,,,,,,,
2015-03-01,,,,,,,,
2015-04-01,,,,,,,,
2015-05-01,,,,,,,,
2015-06-01,,,,,,,,
2015-07-01,,,,,,,,
2015-08-01,,,,,,,,
2015-09-01,,,,,,,,
2015-10-01,,,,,,,,
2015-11-01,,,,,,,,
2015-12-01,,,,,,,,
2016-01-01,,,,,,,,
2016-02-01,0.4799999999999997,0.5,1.0,0.6599999999999999,0.55,0.6166666666666667,1.0,0.7222222222222223
2016-03-01,0.6,0.5,0.9725506805246665,0.6908502268415555,0.6333333333333333,0.6166666666666667,0.9666666666666667,0.7388888888888889
2016-04-01,0.6,0.5,1.0,0.7000000000000001,0.6333333333333333,0.6166666666666667,1.0,0.75
2016-05-01,0.6799999999999997,0.5499999999999998,0.9749943209794701,0.7349981069931566,0.6833333333333333,0.65,0.9833333333333333,0.7722222222222223
2016-06-01,0.7200000000000003,0.5,0.9310890047696613,0.7170296682565538,0.7,0.6,0.9666666666666667,0.7555555555555555
2016-07-01,0.6400000000000006,0.5,0.8532586043753161,0.6644195347917722,0.6333333333333333,0.6,0.8833333333333333,0.7055555555555556
2016-08-01,0.6400000000000006,0.5,0.8022453519074121,0.6474151173024709,0.6333333333333333,0.6166666666666667,0.85,0.7000000000000001
2016-09-01,0.6400000000000006,0.5,0.8474426356083036,0.6624808785361014,0.65,0.6333333333333333,0.8666666666666667,0.7166666666666667
2016-10-01,0.6,0.5,0.8158990546782403,0.6386330182260801,0.5833333333333334,0.65,0.8333333333333334,0.688888888888889
2016-11-01,0.5200000000000002,0.44999999999999973,0.656285574365805,0.5420951914552683,0.55,0.48333333333333334,0.6,0.5444444444444444
2016-12-01,0.4,0.3999999999999999,0.19787987458815184,0.33262662486271727,0.45,0.45,0.08333333333333333,0.3277777777777778
2017-01-01,0.35999999999999943,0.3999999999999999,0.3383638932231869,0.3661212977410621,0.4,0.4666666666666667,0.23333333333333334,0.3666666666666667
2017-02-01,0.3200000000000003,0.3500000000000001,0.4568692169531141,0.3756230723177048,0.36666666666666664,0.43333333333333335,0.43333333333333335,0.41111111111111115
2017-03-01,0.2799999999999997,0.3500000000000001,0.36282314836437013,0.33094104945478997,0.35,0.45,0.3,0.3666666666666667
2017-04-01,0.12000000000000029,0.2999999999999998,0.43564217674546457,0.2852140589151549,0.13333333333333333,0.4166666666666667,0.4166666666666667,0.32222222222222224
2017-05-01,0.0,0.3500000000000001,0.39000943102683905,0.24666981034227972,0.016666666666666666,0.48333333333333334,0.36666666666666664,0.2888888888888889
