,C_minmax,I_minmax,Q_minmax,index_minmax,C_percentile,I_percentile,Q_percentile,index_percentile
2011-03-01,,,,,,,,
2011-04-01,,,,,,,,
2011-05-01,,,,,,,,
2011-06-01,,,,,,,,
2011-07-01,,,,,,,,
2011-08-01,,,,,,,,
2011-09-01,,,,,,,,
2011-10-01,,,,,,,,
2011-11-01,,,,,,,,
2011-12-01,,,,,,,,
2012-01-01,,,,,,,,
2012-02-01,,,,,,,,
2012-03-01,,,,,,,,
2012-04-01,,,,,,,,
2012-05-01,,,,,,,,
2012-06-01,,,,,,,,
2012-07-01,,,,,,,,
2012-08-01,,,,,,,,
2012-09-01,,,,,,,,
2012-10-01,,,,,,,,
2012-11-01,,,,,,,,
2012-12-01,,,,,,,,
2013-01-01,,,,,,,,
2013-02-01,,,,,,,,
2013-03-01,,,,,,,,
2013-04-01,,,,,,,,
2013-05-01,,,,,,,,
2013-06-01,,,,,,,,
2013-07-01,,,,,,,,
2013-08-01,,,,,,,,
2013-09-01,,,,,,,,
2013-10-01,,,,,,,,
2013-11-01,,,,,,,,
2013-12-01,,,,,,,,
2014-01-01,0.22727272727272735,0.11764705882352951,0.4015966935060069,0.24883882653408793,0.2857142857142857,0.14285714285714285,0.2571428571428571,0.22857142857142856
2014-02-01,0.22727272727272735,0.05882352941176449,0.8309695443551434,0.37235526701321175,0.3055555555555556,0.05555555555555555,0.8611111111111112,0.40740740740740744
2014-03-01,0.18181818181818124,0.05882352941176449,1.0,0.4135472370766486,0.21621621621621623,0.08108108108108109,1.0,0.43243243243243246
2014-04-01,0.18181818181818124,0.05882352941176449,1.0,0.4135472370766486,0.23684210526315788,0.10526315789473684,1.0,0.4473684210526316
2014-05-01,0.22727272727272735,0.11764705882352951,0.9636404733077018,0.4361867531346529,0.358974358974359,0.23076923076923078,0.9743589743589743,0.5213675213675214
2014-06-01,0.2727272727272735,0.05882352941176449,1.0,0.4438502673796793,0.375,0.125,1.0,0.5
2014-07-01,0.31818181818181795,0.11764705882352951,0.8324983307105308,0.42277573590529277,0.4146341463414634,0.2682926829268293,0.926829268292683,0.5365853658536586
2014-08-01,0.22727272727272735,0.11764705882352951,0.8381066921276011,0.39434215940795264,0.35714285714285715,0.2857142857142857,0.9285714285714286,0.5238095238095238
2014-09-01,0.22727272727272735,0.11764705882352951,0.8780267230919101,0.4076488363960557,0.37209302325581395,0.3023255813953488,0.9767441860465116,0.5503875968992248
2014-10-01,0.2727272727272735,0.05882352941176449,0.7830522467498834,0.37153434962964044,0.4090909090909091,0.13636363636363635,0.8636363636363636,0.4696969696969697
2014-11-01,0.40909090909090856,0.0,0.6813976143813343,0.3634961744907476,0.4888888888888889,0.044444444444444446,0.8222222222222222,0.4518518518518519
2014-12-01,0.5909090909090914,0.0,0.20393154658274643,0.26494687916394594,0.7391304347826086,0.021739130434782608,0.17391304347826086,0.3115942028985507
2015-01-01,0.8181818181818188,0.0,0.45465406577801376,0.42427862798661087,0.8085106382978723,0.0425531914893617,0.574468085106383,0.47517730496453897
2015-02-01,0.9090909090909094,0.0,0.7578228665631759,0.5556379252180285,0.9375,0.0625,0.8541666666666666,0.6180555555555555
2015-03-01,0.8636363636363633,0.0,0.7267048821889011,0.5301137486084214,0.8163265306122449,0.02040816326530612,0.8367346938775511,0.5578231292517007
2015-04-01,0.9545454545454555,0.04999999999999982,0.9191340608899673,0.6412265051451409,0.98,0.1,0.98,0.6866666666666666
2015-05-01,0.9545454545454555,0.10000000000000009,0.9354739862101402,0.6633398135851986,0.9803921568627451,0.11764705882352941,0.9803921568627451,0.6928104575163397
2015-06-01,0.9545454545454555,0.04999999999999982,0.9759592328097707,0.6601682291184087,0.9807692307692307,0.11538461538461539,0.9807692307692307,0.6923076923076922
2015-07-01,1.0,0.10000000000000009,0.8883007681125101,0.66276692270417,1.0,0.1509433962264151,0.9245283018867925,0.6918238993710691
2015-08-01,1.0,0.19999999999999973,0.9681645999882894,0.7227215333294298,1.0,0.2962962962962963,0.9629629629629629,0.7530864197530863
